m,seed,task,dataset,method,mae
1,0,wmt_14:language_pair=ru-en,wmt_14,ens,0.060821793241715605
1,1,legalbench:subset=abercrombie,legalbench,sample,0.4028296547821165
1,1,legalbench:subset=abercrombie,legalbench,pkps,0.1676046501156387
1,1,legalbench:subset=abercrombie,legalbench,ens,0.15430698011901794
1,1,legalbench:subset=abercrombie,legalbench,irt,0.43920123638230296
1,1,legalbench:subset=corporate_lobbying,legalbench,sample,0.3635304659498209
1,1,legalbench:subset=corporate_lobbying,legalbench,pkps,0.16164781928040484
1,1,legalbench:subset=corporate_lobbying,legalbench,ens,0.16424834913296743
1,1,legalbench:subset=corporate_lobbying,legalbench,irt,0.5709026789267974
1,1,legalbench:subset=function_of_decision_section,legalbench,sample,0.4338709677419355
1,1,legalbench:subset=function_of_decision_section,legalbench,pkps,0.07892949403210164
1,1,legalbench:subset=function_of_decision_section,legalbench,ens,0.10709141815640244
1,1,legalbench:subset=function_of_decision_section,legalbench,irt,0.4997275521717766
1,1,legalbench:subset=international_citizenship_questions,legalbench,sample,0.44775985663082446
1,1,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.1183840742884499
1,1,legalbench:subset=international_citizenship_questions,legalbench,ens,0.12555964565302086
1,1,legalbench:subset=international_citizenship_questions,legalbench,irt,0.4615499548853003
1,1,legalbench:subset=proa,legalbench,sample,0.198981324278438
1,1,legalbench:subset=proa,legalbench,pkps,0.12365382045552191
1,1,legalbench:subset=proa,legalbench,ens,0.11428750522320744
1,1,legalbench:subset=proa,legalbench,irt,0.22146474970691873
1,1,math:subject=algebra,math,sample,0.23763440860215054
1,1,math:subject=algebra,math,pkps,0.21926026354284503
1,1,math:subject=algebra,math,ens,0.18326362595846762
1,1,math:subject=algebra,math,irt,0.2805509592297822
1,1,math:subject=counting_and_probability,math,sample,0.3234077750206783
1,1,math:subject=counting_and_probability,math,pkps,0.21059026613617207
1,1,math:subject=counting_and_probability,math,ens,0.18536238155289972
1,1,math:subject=counting_and_probability,math,irt,0.3076900037436296
1,1,math:subject=geometry,math,sample,0.39445387662705156
1,1,math:subject=geometry,math,pkps,0.18108366696058778
1,1,math:subject=geometry,math,ens,0.1571886379179517
1,1,math:subject=geometry,math,irt,0.40772818929492516
1,1,math:subject=intermediate_algebra,math,sample,0.34491315136476425
1,1,math:subject=intermediate_algebra,math,pkps,0.20155938695542708
1,1,math:subject=intermediate_algebra,math,ens,0.17126592739085447
1,1,math:subject=intermediate_algebra,math,irt,0.40875219909963134
1,1,math:subject=number_theory,math,sample,0.3028673835125448
1,1,math:subject=number_theory,math,pkps,0.22176270646140483
1,1,math:subject=number_theory,math,ens,0.19199544507209315
1,1,math:subject=number_theory,math,irt,0.43306088550510996
1,1,math:subject=prealgebra,math,sample,0.27969492373093274
1,1,math:subject=prealgebra,math,pkps,0.2174925764675391
1,1,math:subject=prealgebra,math,ens,0.18640220731520743
1,1,math:subject=prealgebra,math,irt,0.2949776016041036
1,1,math:subject=precalculus,math,sample,0.3335219769854745
1,1,math:subject=precalculus,math,pkps,0.186969120429645
1,1,math:subject=precalculus,math,ens,0.1530409362596796
1,1,math:subject=precalculus,math,irt,0.3139843227340083
1,1,med_qa,med_qa,sample,0.41586021505376347
1,1,med_qa,med_qa,pkps,0.1320123261556621
1,1,med_qa,med_qa,ens,0.12219154114325582
1,1,med_qa,med_qa,irt,0.42196662155196696
1,1,wmt_14:language_pair=cs-en,wmt_14,sample,0.1130949551085733
1,1,wmt_14:language_pair=cs-en,wmt_14,pkps,0.05716920121636604
1,1,wmt_14:language_pair=cs-en,wmt_14,ens,0.05193819835206429
1,1,wmt_14:language_pair=de-en,wmt_14,sample,0.11855680028404277
1,1,wmt_14:language_pair=de-en,wmt_14,pkps,0.03777030589087026
1,1,wmt_14:language_pair=de-en,wmt_14,ens,0.04035814035526736
1,1,wmt_14:language_pair=fr-en,wmt_14,sample,0.13650123407619824
1,1,wmt_14:language_pair=fr-en,wmt_14,pkps,0.023423707760092477
1,1,wmt_14:language_pair=fr-en,wmt_14,ens,0.030024211580881262
1,1,wmt_14:language_pair=hi-en,wmt_14,sample,0.1450352965850853
1,1,wmt_14:language_pair=hi-en,wmt_14,pkps,0.10100869588526698
1,1,wmt_14:language_pair=hi-en,wmt_14,ens,0.09263110290131443
1,1,wmt_14:language_pair=ru-en,wmt_14,sample,0.1323429501862809
1,1,wmt_14:language_pair=ru-en,wmt_14,pkps,0.0756733954289201
1,1,wmt_14:language_pair=ru-en,wmt_14,ens,0.06137318977309814
1,2,legalbench:subset=abercrombie,legalbench,sample,0.42297679683078665
1,2,legalbench:subset=abercrombie,legalbench,pkps,0.1659928244102611
1,2,legalbench:subset=abercrombie,legalbench,ens,0.14969155849472912
1,2,legalbench:subset=abercrombie,legalbench,irt,0.38446662155196687
1,2,legalbench:subset=corporate_lobbying,legalbench,sample,0.36012544802867386
1,2,legalbench:subset=corporate_lobbying,legalbench,pkps,0.179895350384275
1,2,legalbench:subset=corporate_lobbying,legalbench,ens,0.17331094254873633
1,2,legalbench:subset=corporate_lobbying,legalbench,irt,0.2555509592297821
1,2,legalbench:subset=function_of_decision_section,legalbench,sample,0.43405017921146954
1,2,legalbench:subset=function_of_decision_section,legalbench,pkps,0.08732417448280035
1,2,legalbench:subset=function_of_decision_section,legalbench,ens,0.12408308064066054
1,2,legalbench:subset=function_of_decision_section,legalbench,irt,0.4778471233712418
1,2,legalbench:subset=international_citizenship_questions,legalbench,sample,0.45456989247311824
1,2,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.13815903930024878
1,2,legalbench:subset=international_citizenship_questions,legalbench,ens,0.14153535682568213
1,2,legalbench:subset=international_citizenship_questions,legalbench,irt,0.43958102938465526
1,2,legalbench:subset=proa,legalbench,sample,0.16876061120543293
1,2,legalbench:subset=proa,legalbench,pkps,0.11514229435617121
1,2,legalbench:subset=proa,legalbench,ens,0.10782574691603075
1,2,legalbench:subset=proa,legalbench,irt,0.16841874868290088
1,2,math:subject=algebra,math,sample,0.23261648745519714
1,2,math:subject=algebra,math,pkps,0.2549195354373914
1,2,math:subject=algebra,math,ens,0.19570113146887172
1,2,math:subject=algebra,math,irt,0.1916643627179886
1,2,math:subject=counting_and_probability,math,sample,0.29473393989523017
1,2,math:subject=counting_and_probability,math,pkps,0.2534925802147808
1,2,math:subject=counting_and_probability,math,ens,0.19719767035543304
1,2,math:subject=counting_and_probability,math,irt,0.2950266974709219
1,2,math:subject=geometry,math,sample,0.4255800792303339
1,2,math:subject=geometry,math,pkps,0.21510527429216486
1,2,math:subject=geometry,math,ens,0.20332588011018005
1,2,math:subject=geometry,math,irt,0.4285691246227505
1,2,math:subject=intermediate_algebra,math,sample,0.3974358974358974
1,2,math:subject=intermediate_algebra,math,pkps,0.24179041681626764
1,2,math:subject=intermediate_algebra,math,ens,0.21939849587544671
1,2,math:subject=intermediate_algebra,math,irt,0.4349839624281868
1,2,math:subject=number_theory,math,sample,0.3243727598566308
1,2,math:subject=number_theory,math,pkps,0.25179306077559627
1,2,math:subject=number_theory,math,ens,0.2166678122281583
1,2,math:subject=number_theory,math,irt,0.38666551581095476
1,2,math:subject=prealgebra,math,sample,0.26844211052763195
1,2,math:subject=prealgebra,math,pkps,0.25171954213832437
1,2,math:subject=prealgebra,math,ens,0.1886346080545844
1,2,math:subject=prealgebra,math,irt,0.37400150527289716
1,2,math:subject=precalculus,math,sample,0.36257309941520466
1,2,math:subject=precalculus,math,pkps,0.22746922215546297
1,2,math:subject=precalculus,math,ens,0.1817363847546876
1,2,math:subject=precalculus,math,irt,0.3781915555552611
1,2,med_qa,med_qa,sample,0.4319892473118279
1,2,med_qa,med_qa,pkps,0.1468086800388917
1,2,med_qa,med_qa,ens,0.1428144188088072
1,2,med_qa,med_qa,irt,0.3423837074466537
1,2,wmt_14:language_pair=cs-en,wmt_14,sample,0.10901431965136814
1,2,wmt_14:language_pair=cs-en,wmt_14,pkps,0.07722502307051916
1,2,wmt_14:language_pair=cs-en,wmt_14,ens,0.06567621957102804
1,2,wmt_14:language_pair=de-en,wmt_14,sample,0.12897618622623283
1,2,wmt_14:language_pair=de-en,wmt_14,pkps,0.04979192380896108
1,2,wmt_14:language_pair=de-en,wmt_14,ens,0.04905469715426378
1,2,wmt_14:language_pair=fr-en,wmt_14,sample,0.15077187116910296
1,2,wmt_14:language_pair=fr-en,wmt_14,pkps,0.030905915101251645
1,2,wmt_14:language_pair=fr-en,wmt_14,ens,0.041778785161164025
1,2,wmt_14:language_pair=hi-en,wmt_14,sample,0.13677133265316793
1,2,wmt_14:language_pair=hi-en,wmt_14,pkps,0.11373689325643328
1,2,wmt_14:language_pair=hi-en,wmt_14,ens,0.09094857665897942
1,2,wmt_14:language_pair=ru-en,wmt_14,sample,0.1554440449840934
1,2,wmt_14:language_pair=ru-en,wmt_14,pkps,0.09063875373171115
1,2,wmt_14:language_pair=ru-en,wmt_14,ens,0.08321162786610707
1,3,legalbench:subset=abercrombie,legalbench,sample,0.4113186191284663
1,3,legalbench:subset=abercrombie,legalbench,pkps,0.17206885458802745
1,3,legalbench:subset=abercrombie,legalbench,ens,0.1490570530476122
1,3,legalbench:subset=abercrombie,legalbench,irt,0.35306642161685586
1,3,legalbench:subset=corporate_lobbying,legalbench,sample,0.34614695340501794
1,3,legalbench:subset=corporate_lobbying,legalbench,pkps,0.15147465823595604
1,3,legalbench:subset=corporate_lobbying,legalbench,ens,0.14807925249304055
1,3,legalbench:subset=corporate_lobbying,legalbench,irt,0.1854143627179886
1,3,legalbench:subset=function_of_decision_section,legalbench,sample,0.40430107526881714
1,3,legalbench:subset=function_of_decision_section,legalbench,pkps,0.07961269587927441
1,3,legalbench:subset=function_of_decision_section,legalbench,ens,0.08896989987799599
1,3,legalbench:subset=function_of_decision_section,legalbench,irt,0.3020810293846553
1,3,legalbench:subset=international_citizenship_questions,legalbench,sample,0.44883512544802867
1,3,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.1373113538731639
1,3,legalbench:subset=international_citizenship_questions,legalbench,ens,0.13218508828133937
1,3,legalbench:subset=international_citizenship_questions,legalbench,irt,0.4698832882186337
1,3,legalbench:subset=proa,legalbench,sample,0.16366723259762309
1,3,legalbench:subset=proa,legalbench,pkps,0.124195795739051
1,3,legalbench:subset=proa,legalbench,ens,0.10878861890389448
1,3,legalbench:subset=proa,legalbench,irt,0.22806557911282302
1,3,math:subject=algebra,math,sample,0.2682795698924731
1,3,math:subject=algebra,math,pkps,0.24473165573240924
1,3,math:subject=algebra,math,ens,0.21103076855510933
1,3,math:subject=algebra,math,irt,0.07291436271798862
1,3,math:subject=counting_and_probability,math,sample,0.3231320650675489
1,3,math:subject=counting_and_probability,math,pkps,0.24675256471354123
1,3,math:subject=counting_and_probability,math,ens,0.20254306522176374
1,3,math:subject=counting_and_probability,math,irt,0.20462427566469577
1,3,math:subject=geometry,math,sample,0.38653084323712505
1,3,math:subject=geometry,math,pkps,0.20115907608024935
1,3,math:subject=geometry,math,ens,0.17748218416925052
1,3,math:subject=geometry,math,irt,0.3731790242269403
1,3,math:subject=intermediate_algebra,math,sample,0.3387096774193548
1,3,math:subject=intermediate_algebra,math,pkps,0.24599368940742747
1,3,math:subject=intermediate_algebra,math,ens,0.2006596572340203
1,3,math:subject=intermediate_algebra,math,irt,0.4046632674061944
1,3,math:subject=number_theory,math,sample,0.31792114695340495
1,3,math:subject=number_theory,math,pkps,0.2434030225620749
1,3,math:subject=number_theory,math,ens,0.20352590022942463
1,3,math:subject=number_theory,math,irt,0.2372264902978469
1,3,math:subject=prealgebra,math,sample,0.3197049262315579
1,3,math:subject=prealgebra,math,pkps,0.23212291936424792
1,3,math:subject=prealgebra,math,ens,0.20357700335809148
1,3,math:subject=prealgebra,math,irt,0.23737359829615298
1,3,math:subject=precalculus,math,sample,0.3806828900207508
1,3,math:subject=precalculus,math,pkps,0.20891577285745472
1,3,math:subject=precalculus,math,ens,0.18205570772710988
1,3,math:subject=precalculus,math,irt,0.293857345174129
1,3,med_qa,med_qa,sample,0.42195340501792106
1,3,med_qa,med_qa,pkps,0.1339746620476562
1,3,med_qa,med_qa,ens,0.12971798672303544
1,3,med_qa,med_qa,irt,0.4615499548853002
1,3,wmt_14:language_pair=cs-en,wmt_14,sample,0.12282674345329744
1,3,wmt_14:language_pair=cs-en,wmt_14,pkps,0.05083632856790578
1,3,wmt_14:language_pair=cs-en,wmt_14,ens,0.05218810340529309
1,3,wmt_14:language_pair=de-en,wmt_14,sample,0.12279817447387746
1,3,wmt_14:language_pair=de-en,wmt_14,pkps,0.041165987000820796
1,3,wmt_14:language_pair=de-en,wmt_14,ens,0.0453575872136725
1,3,wmt_14:language_pair=fr-en,wmt_14,sample,0.1392624107212225
1,3,wmt_14:language_pair=fr-en,wmt_14,pkps,0.0239564019401276
1,3,wmt_14:language_pair=fr-en,wmt_14,ens,0.03329237885899048
1,3,wmt_14:language_pair=hi-en,wmt_14,sample,0.14832019309364916
1,3,wmt_14:language_pair=hi-en,wmt_14,pkps,0.0970847141556513
1,3,wmt_14:language_pair=hi-en,wmt_14,ens,0.0812197523424438
1,3,wmt_14:language_pair=ru-en,wmt_14,sample,0.14314730193852682
1,3,wmt_14:language_pair=ru-en,wmt_14,pkps,0.07330306884021132
1,3,wmt_14:language_pair=ru-en,wmt_14,ens,0.06355649851755277
1,4,legalbench:subset=abercrombie,legalbench,sample,0.40871533672891913
1,4,legalbench:subset=abercrombie,legalbench,pkps,0.1537894513116657
1,4,legalbench:subset=abercrombie,legalbench,ens,0.14536747720676574
1,4,legalbench:subset=abercrombie,legalbench,irt,0.4318350426045986
1,4,legalbench:subset=corporate_lobbying,legalbench,sample,0.3140681003584229
1,4,legalbench:subset=corporate_lobbying,legalbench,pkps,0.14428902553137524
1,4,legalbench:subset=corporate_lobbying,legalbench,ens,0.12779980235621594
1,4,legalbench:subset=corporate_lobbying,legalbench,irt,0.4473837074466537
1,4,legalbench:subset=function_of_decision_section,legalbench,sample,0.446415770609319
1,4,legalbench:subset=function_of_decision_section,legalbench,pkps,0.08750694770643971
1,4,legalbench:subset=function_of_decision_section,legalbench,ens,0.11371258609229672
1,4,legalbench:subset=function_of_decision_section,legalbench,irt,0.5615499548853002
1,4,legalbench:subset=international_citizenship_questions,legalbench,sample,0.4352150537634409
1,4,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.1264193919038791
1,4,legalbench:subset=international_citizenship_questions,legalbench,ens,0.12458639754940459
1,4,legalbench:subset=international_citizenship_questions,legalbench,irt,0.3240499548853003
1,4,legalbench:subset=proa,legalbench,sample,0.15823429541595926
1,4,legalbench:subset=proa,legalbench,pkps,0.1364466633277689
1,4,legalbench:subset=proa,legalbench,ens,0.11622580290578674
1,4,legalbench:subset=proa,legalbench,irt,0.12280242121808622
1,4,math:subject=algebra,math,sample,0.2654121863799283
1,4,math:subject=algebra,math,pkps,0.2112817952475343
1,4,math:subject=algebra,math,ens,0.18116794876650766
1,4,math:subject=algebra,math,irt,0.3639235616856209
1,4,math:subject=counting_and_probability,math,sample,0.3305762338020402
1,4,math:subject=counting_and_probability,math,pkps,0.20173934731385715
1,4,math:subject=counting_and_probability,math,ens,0.17649119201144856
1,4,math:subject=counting_and_probability,math,irt,0.15236806808911876
1,4,math:subject=geometry,math,sample,0.3633276740237691
1,4,math:subject=geometry,math,pkps,0.17989911344359627
1,4,math:subject=geometry,math,ens,0.14698896156730606
1,4,math:subject=geometry,math,irt,0.3167880467833313
1,4,math:subject=intermediate_algebra,math,sample,0.39371381306865183
1,4,math:subject=intermediate_algebra,math,pkps,0.2060334250782334
1,4,math:subject=intermediate_algebra,math,ens,0.18403044576448926
1,4,math:subject=intermediate_algebra,math,irt,0.5208452459081921
1,4,math:subject=number_theory,math,sample,0.3308243727598566
1,4,math:subject=number_theory,math,pkps,0.204476944075322
1,4,math:subject=number_theory,math,ens,0.17931164509046177
1,4,math:subject=number_theory,math,irt,0.24858342153153362
1,4,math:subject=prealgebra,math,sample,0.308702175543886
1,4,math:subject=prealgebra,math,pkps,0.19422878347337263
1,4,math:subject=prealgebra,math,ens,0.1695567809631074
1,4,math:subject=prealgebra,math,irt,0.6162744734416684
1,4,math:subject=precalculus,math,sample,0.3421995849839653
1,4,math:subject=precalculus,math,pkps,0.18693922350797537
1,4,math:subject=precalculus,math,ens,0.15207275456406774
1,4,math:subject=precalculus,math,irt,0.2701030056922677
1,4,med_qa,med_qa,sample,0.399731182795699
1,4,med_qa,med_qa,pkps,0.12257069172115398
1,4,med_qa,med_qa,ens,0.115431684576391
1,4,med_qa,med_qa,irt,0.4472176258964488
1,4,wmt_14:language_pair=cs-en,wmt_14,sample,0.12640993414569593
1,4,wmt_14:language_pair=cs-en,wmt_14,pkps,0.058397082365557317
1,4,wmt_14:language_pair=cs-en,wmt_14,ens,0.0589327907136492
1,4,wmt_14:language_pair=de-en,wmt_14,sample,0.13119819927866996
1,4,wmt_14:language_pair=de-en,wmt_14,pkps,0.037089977257113924
1,4,wmt_14:language_pair=de-en,wmt_14,ens,0.039932024012612796
1,4,wmt_14:language_pair=fr-en,wmt_14,sample,0.15567720193322973
1,4,wmt_14:language_pair=fr-en,wmt_14,pkps,0.023774532310205595
1,4,wmt_14:language_pair=fr-en,wmt_14,ens,0.03866340343482042
1,4,wmt_14:language_pair=hi-en,wmt_14,sample,0.1445852609820422
1,4,wmt_14:language_pair=hi-en,wmt_14,pkps,0.10371678950078124
1,4,wmt_14:language_pair=hi-en,wmt_14,ens,0.09027816085897836
1,4,wmt_14:language_pair=ru-en,wmt_14,sample,0.16066260330295196
1,4,wmt_14:language_pair=ru-en,wmt_14,pkps,0.06803142005162051
1,4,wmt_14:language_pair=ru-en,wmt_14,ens,0.06454204363229138
1,5,legalbench:subset=abercrombie,legalbench,sample,0.4109790605546123
1,5,legalbench:subset=abercrombie,legalbench,pkps,0.13736873359295337
1,5,legalbench:subset=abercrombie,legalbench,ens,0.12634286302365214
1,5,legalbench:subset=abercrombie,legalbench,irt,0.4652608539460588
1,5,legalbench:subset=corporate_lobbying,legalbench,sample,0.34740143369175625
1,5,legalbench:subset=corporate_lobbying,legalbench,pkps,0.17743751393264778
1,5,legalbench:subset=corporate_lobbying,legalbench,ens,0.15912527514564484
1,5,legalbench:subset=corporate_lobbying,legalbench,irt,0.21743045670457511
1,5,legalbench:subset=function_of_decision_section,legalbench,sample,0.417741935483871
1,5,legalbench:subset=function_of_decision_section,legalbench,pkps,0.07834817487880037
1,5,legalbench:subset=function_of_decision_section,legalbench,ens,0.10314572707878632
1,5,legalbench:subset=function_of_decision_section,legalbench,irt,0.29166436271798857
1,5,legalbench:subset=international_citizenship_questions,legalbench,sample,0.4755376344086021
1,5,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.12470463764570726
1,5,legalbench:subset=international_citizenship_questions,legalbench,ens,0.13393418832193166
1,5,legalbench:subset=international_citizenship_questions,legalbench,irt,0.42194977439399883
1,5,legalbench:subset=proa,legalbench,sample,0.18438030560271645
1,5,legalbench:subset=proa,legalbench,pkps,0.11817218279110016
1,5,legalbench:subset=proa,legalbench,ens,0.09965217873966073
1,5,legalbench:subset=proa,legalbench,irt,0.016116132794772964
1,5,math:subject=algebra,math,sample,0.2629032258064516
1,5,math:subject=algebra,math,pkps,0.218306166572298
1,5,math:subject=algebra,math,ens,0.1901425631462912
1,5,math:subject=algebra,math,irt,0.4465971233712418
1,5,math:subject=counting_and_probability,math,sample,0.28618693134822165
1,5,math:subject=counting_and_probability,math,pkps,0.21420791136054138
1,5,math:subject=counting_and_probability,math,ens,0.17594682368808817
1,5,math:subject=counting_and_probability,math,irt,0.3259734510363973
1,5,math:subject=geometry,math,sample,0.3882286361063951
1,5,math:subject=geometry,math,pkps,0.1981402896541882
1,5,math:subject=geometry,math,ens,0.172557365072059
1,5,math:subject=geometry,math,irt,0.4849601020663595
1,5,math:subject=intermediate_algebra,math,sample,0.33953680727874275
1,5,math:subject=intermediate_algebra,math,pkps,0.20998881387550156
1,5,math:subject=intermediate_algebra,math,ens,0.17225102197228653
1,5,math:subject=intermediate_algebra,math,irt,0.3798053883590143
1,5,math:subject=number_theory,math,sample,0.3200716845878136
1,5,math:subject=number_theory,math,pkps,0.2330869424114263
1,5,math:subject=number_theory,math,ens,0.19985336682558363
1,5,math:subject=number_theory,math,irt,0.42777624181199236
1,5,math:subject=prealgebra,math,sample,0.28369592398099525
1,5,math:subject=prealgebra,math,pkps,0.22014861943617195
1,5,math:subject=prealgebra,math,ens,0.18181171950349215
1,5,math:subject=prealgebra,math,irt,0.35127793976867583
1,5,math:subject=precalculus,math,sample,0.3944538766270515
1,5,math:subject=precalculus,math,pkps,0.1937945909791266
1,5,math:subject=precalculus,math,ens,0.18772568649909183
1,5,math:subject=precalculus,math,irt,0.2754346633246847
1,5,med_qa,med_qa,sample,0.43682795698924737
1,5,med_qa,med_qa,pkps,0.11895412060536396
1,5,med_qa,med_qa,ens,0.12646775722321676
1,5,med_qa,med_qa,irt,0.42196662155196696
1,5,wmt_14:language_pair=cs-en,wmt_14,sample,0.1156644418242621
1,5,wmt_14:language_pair=cs-en,wmt_14,pkps,0.055321228854079765
1,5,wmt_14:language_pair=cs-en,wmt_14,ens,0.05504199542160482
1,5,wmt_14:language_pair=de-en,wmt_14,sample,0.1517295073252931
1,5,wmt_14:language_pair=de-en,wmt_14,pkps,0.0390254923065917
1,5,wmt_14:language_pair=de-en,wmt_14,ens,0.04065971188963916
1,5,wmt_14:language_pair=fr-en,wmt_14,sample,0.1639132334353218
1,5,wmt_14:language_pair=fr-en,wmt_14,pkps,0.024626086930856144
1,5,wmt_14:language_pair=fr-en,wmt_14,ens,0.03747056760552716
1,5,wmt_14:language_pair=hi-en,wmt_14,sample,0.13408535781363431
1,5,wmt_14:language_pair=hi-en,wmt_14,pkps,0.09297805741077265
1,5,wmt_14:language_pair=hi-en,wmt_14,ens,0.0839823715441079
1,5,wmt_14:language_pair=ru-en,wmt_14,sample,0.13141901195946448
1,5,wmt_14:language_pair=ru-en,wmt_14,pkps,0.07399520211458709
1,5,wmt_14:language_pair=ru-en,wmt_14,ens,0.06504688748085466
1,6,legalbench:subset=abercrombie,legalbench,sample,0.42478777589134137
1,6,legalbench:subset=abercrombie,legalbench,pkps,0.1680533813602765
1,6,legalbench:subset=abercrombie,legalbench,ens,0.1514251028427821
1,6,legalbench:subset=abercrombie,legalbench,irt,0.4897297794467038
1,6,legalbench:subset=corporate_lobbying,legalbench,sample,0.34220430107526884
1,6,legalbench:subset=corporate_lobbying,legalbench,pkps,0.15615926554754608
1,6,legalbench:subset=corporate_lobbying,legalbench,ens,0.14387724157472923
1,6,legalbench:subset=corporate_lobbying,legalbench,irt,0.2123419426893749
1,6,legalbench:subset=function_of_decision_section,legalbench,sample,0.44892473118279563
1,6,legalbench:subset=function_of_decision_section,legalbench,pkps,0.08167375709711387
1,6,legalbench:subset=function_of_decision_section,legalbench,ens,0.1114975964835938
1,6,legalbench:subset=function_of_decision_section,legalbench,irt,0.6729143627179885
1,6,legalbench:subset=international_citizenship_questions,legalbench,sample,0.4474014336917562
1,6,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.13720833699903962
1,6,legalbench:subset=international_citizenship_questions,legalbench,ens,0.1309486488647282
1,6,legalbench:subset=international_citizenship_questions,legalbench,irt,0.26361644106066545
